%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494450157468927103,0,187,454,150,330
1494450157488836770,0,187,454,150,330
1494450157513381018,0,187,454,150,330
1494450157528046425,0,187,454,150,330
1494450157549481254,0,187,454,150,330
1494450157569850829,0,187,454,150,330
1494450157589508369,0,187,454,150,330
1494450157619996859,0,187,454,150,330
1494450157629424360,0,187,454,150,330
1494450157647978453,0,187,454,150,330
1494450157668920047,0,187,454,150,330
1494450157692222300,0,187,454,150,330
1494450157721853508,0,187,454,150,330
1494450157733264369,0,187,454,150,330
1494450157749449832,0,187,454,150,330
1494450157769060400,0,187,454,150,330
1494450157790620138,0,137,303,100,330
1494450157809077203,0,137,303,100,330
1494450157831695098,0,137,303,100,330
1494450157849015487,0,137,303,100,330
1494450157871152458,0,137,303,100,330
1494450157908439924,0,137,303,100,330
1494450157912175649,0,137,303,100,330
1494450157930953773,0,137,303,100,330
1494450157949564030,0,137,303,100,330
1494450157971108841,0,137,303,100,330
1494450157989382308,0,137,303,100,330
1494450158009130804,0,137,303,100,330
1494450158031763337,0,137,303,100,330
1494450158049228802,0,137,303,100,330
1494450158069810789,0,137,303,100,330
1494450158091437039,0,137,303,100,330
1494450158110352045,0,137,303,100,330
1494450158128680652,0,137,303,100,330
1494450158151808639,0,137,303,100,330
1494450158169716183,0,137,303,100,330
1494450158190029939,0,137,303,100,330
1494450158213056217,0,137,303,100,330
1494450158229366102,0,137,303,100,330
1494450158249123882,0,137,303,100,330
1494450158270208312,0,137,303,100,330
1494450158290466364,0,87,151,50,330
1494450158316622211,0,87,151,50,330
1494450158329727312,0,87,151,50,330
1494450158351468103,0,87,151,50,330
1494450158371855168,0,87,151,50,330
1494450158390466944,0,87,151,50,330
1494450158410680495,0,87,151,50,330
1494450158429807125,0,87,151,50,330
1494450158450902518,0,87,151,50,330
1494450158472907352,0,87,151,50,330
1494450158492366732,0,87,151,50,330
1494450158511316786,0,87,151,50,330
1494450158529816065,0,87,151,50,330
1494450158551087337,0,87,151,50,330
1494450158570197445,0,87,151,50,330
1494450158591404946,0,87,151,50,330
1494450158614443545,0,87,151,50,330
1494450158632454122,0,87,151,50,330
1494450158650886996,0,87,151,50,330
1494450158672685948,0,87,151,50,330
1494450158690278888,0,87,151,50,330
1494450158711668057,0,87,151,50,330
1494450158732354141,0,87,151,50,330
1494450158752124180,0,87,151,50,330
1494450158774354698,0,87,151,50,330
1494450158794724634,0,87,151,50,330
1494450158813688780,0,87,151,50,330
1494450158832733547,0,37,1,0,330
1494450158854339611,0,37,1,0,330
1494450158874088936,0,37,1,0,330
1494450158895523252,0,37,1,0,330
1494450158913663183,0,37,1,0,330
1494450158931269312,0,37,1,0,330
1494450158949540291,0,37,1,0,330
1494450158970072878,0,37,1,0,330
1494450158990283423,0,0,0,0,0
1494450159010309661,0,0,0,0,0
1494450159030950403,0,0,0,0,0
1494450159051631159,0,0,0,0,0
1494450159071861031,0,0,0,0,0
1494450159092141445,0,0,0,0,0
1494450159120232008,0,0,0,0,0
1494450159135029913,0,0,0,0,0
1494450159150828293,0,0,0,0,0
1494450159171883188,0,0,0,0,0
1494450159190642886,0,-37,1,0,-329
1494450159210868842,0,-37,1,0,-329
1494450159237841945,0,-37,1,0,-329
1494450159254056642,0,-37,1,0,-329
1494450159273190697,0,-37,1,0,-329
1494450159290702526,0,-37,1,0,-329
1494450159315411741,0,-37,1,0,-329
1494450159332786960,0,-37,1,0,-329
1494450159352892297,0,-37,1,0,-329
1494450159372061159,0,-37,1,0,-329
1494450159390964909,0,-75,1,0,-659
1494450159410698708,0,-75,1,0,-659
1494450159450169651,0,-75,1,0,-659
1494450159455009555,0,-75,1,0,-659
1494450159473187418,0,-75,1,0,-659
1494450159492857984,0,-75,1,0,-659
1494450159513990801,0,-75,1,0,-659
1494450159535351481,0,-75,1,0,-659
1494450159560612927,0,-75,1,0,-659
1494450159572021072,0,-75,1,0,-659
1494450159592456694,0,-113,1,0,-990
1494450159612151843,0,-113,1,0,-990
1494450159630730920,0,-113,1,0,-990
1494450159653483088,0,-113,1,0,-990
1494450159675980627,0,-113,1,0,-990
1494450159691891034,0,-113,1,0,-990
1494450159712776318,0,-113,1,0,-990
1494450159730893076,0,-113,1,0,-990
1494450159751361733,0,-113,1,0,-990
1494450159771064937,0,-113,1,0,-990
1494450159793002424,0,-151,1,0,-1320
1494450159812322280,0,-151,1,0,-1320
1494450159832376382,0,-151,1,0,-1320
1494450159851330719,0,-151,1,0,-1320
1494450159890276403,0,-151,1,0,-1320
1494450159895527555,0,-151,1,0,-1320
1494450159912126851,0,-151,1,0,-1320
1494450159931004418,0,-151,1,0,-1320
1494450159954146290,0,-151,1,0,-1320
1494450159971475265,0,-151,1,0,-1320
1494450159992064153,0,-189,1,0,-1650
1494450160011668513,0,-189,1,0,-1650
1494450160032994633,0,-189,1,0,-1650
1494450160056649295,0,-189,1,0,-1650
1494450160073233045,0,-189,1,0,-1650
1494450160092301784,0,-189,1,0,-1650
1494450160111734868,0,-189,1,0,-1650
1494450160131565653,0,-189,1,0,-1650
1494450160151597724,0,-189,1,0,-1650
1494450160174800868,0,-189,1,0,-1650
1494450160194783535,0,-189,1,0,-1650
1494450160212025421,0,-189,1,0,-1650
1494450160231274576,0,-189,1,0,-1650
1494450160251897325,0,-189,1,0,-1650
1494450160272186772,0,-189,1,0,-1650
1494450160292990551,0,-189,1,0,-1650
1494450160314559838,0,-189,1,0,-1650
1494450160331868104,0,-189,1,0,-1650
1494450160354500517,0,-189,1,0,-1650
1494450160372254892,0,-189,1,0,-1650
1494450160392491104,0,-189,1,0,-1650
1494450160413791239,0,-189,1,0,-1650
1494450160433426221,0,-189,1,0,-1650
1494450160457232291,0,-189,1,0,-1650
1494450160471565411,0,-189,1,0,-1650
1494450160494727552,0,-151,1,0,-1320
1494450160514046386,0,-151,1,0,-1320
1494450160534050744,0,-151,1,0,-1320
1494450160555968874,0,-151,1,0,-1320
1494450160579572713,0,-151,1,0,-1320
1494450160596396805,0,-151,1,0,-1320
1494450160613482318,0,-151,1,0,-1320
1494450160632391041,0,-151,1,0,-1320
1494450160652815287,0,-151,1,0,-1320
1494450160672084426,0,-151,1,0,-1320
1494450160692551351,0,-151,1,0,-1320
1494450160712884427,0,-151,1,0,-1320
1494450160732389365,0,-151,1,0,-1320
1494450160754290117,0,-151,1,0,-1320
1494450160772837121,0,-151,1,0,-1320
1494450160793393028,0,-151,1,0,-1320
1494450160814076936,0,-151,1,0,-1320
1494450160833962819,0,-151,1,0,-1320
1494450160852399770,0,-151,1,0,-1320
1494450160875861526,0,-151,1,0,-1320
1494450160902713674,0,-151,1,0,-1320
1494450160911896367,0,-151,1,0,-1320
1494450160933423224,0,-151,1,0,-1320
1494450160952060634,0,-151,1,0,-1320
1494450160977511530,0,-151,1,0,-1320
1494450160995268528,0,-113,1,0,-990
1494450161015269099,0,-113,1,0,-990
1494450161034427061,0,-113,1,0,-990
1494450161055871499,0,-113,1,0,-990
1494450161083187449,0,-113,1,0,-990
1494450161103008768,0,-113,1,0,-990
1494450161116093784,0,-113,1,0,-990
1494450161135402285,0,-113,1,0,-990
1494450161153212182,0,-113,1,0,-990
1494450161174048166,0,-113,1,0,-990
1494450161193696387,0,-75,1,0,-659
1494450161213005534,0,-75,1,0,-659
1494450161233343608,0,-75,1,0,-659
1494450161253594512,0,-75,1,0,-659
1494450161276098175,0,-75,1,0,-659
1494450161293830330,0,-75,1,0,-659
1494450161313928310,0,-75,1,0,-659
1494450161333179237,0,-75,1,0,-659
1494450161353036184,0,-75,1,0,-659
1494450161374503443,0,-75,1,0,-659
1494450161395790336,0,-75,1,0,-659
1494450161419461354,0,-75,1,0,-659
1494450161436128430,0,-75,1,0,-659
1494450161457944449,0,-75,1,0,-659
1494450161476461351,0,-75,1,0,-659
1494450161493692037,0,-75,1,0,-659
1494450161517831912,0,-75,1,0,-659
1494450161533726800,0,-75,1,0,-659
1494450161554746983,0,-75,1,0,-659
1494450161573393835,0,-75,1,0,-659
1494450161595385017,0,-75,1,0,-659
1494450161614099700,0,-75,1,0,-659
1494450161633972688,0,-75,1,0,-659
1494450161654259477,0,-75,1,0,-659
1494450161686298303,0,-75,1,0,-659
1494450161696664660,0,-37,1,0,-329
1494450161713052981,0,-37,1,0,-329
1494450161734289567,0,-37,1,0,-329
1494450161753910307,0,-37,1,0,-329
1494450161774493949,0,-37,1,0,-329
1494450161797054484,0,-37,1,0,-329
1494450161815155158,0,-37,1,0,-329
1494450161836653317,0,-37,1,0,-329
1494450161855239152,0,-37,1,0,-329
1494450161875877725,0,-37,1,0,-329
1494450161899844731,0,-37,1,0,-329
1494450161922119770,0,-37,1,0,-329
1494450161935462239,0,-37,1,0,-329
1494450161958573185,0,-37,1,0,-329
1494450161974132886,0,-37,1,0,-329
1494450161994213780,0,-37,1,0,-329
1494450162014044130,0,-37,1,0,-329
1494450162033721525,0,-37,1,0,-329
1494450162058493075,0,-37,1,0,-329
1494450162078473942,0,-37,1,0,-329
1494450162095191632,0,-37,1,0,-329
1494450162113466469,0,-37,1,0,-329
1494450162133687542,0,-37,1,0,-329
1494450162154154388,0,-37,1,0,-329
1494450162174213764,0,-37,1,0,-329
1494450162198909705,0,-37,1,0,-329
1494450162218165664,0,-37,1,0,-329
1494450162236852732,0,-37,1,0,-329
1494450162260141793,0,-37,1,0,-329
1494450162276059112,0,-37,1,0,-329
1494450162296568311,0,-37,1,0,-329
1494450162314715357,0,-37,1,0,-329
1494450162334470047,0,-37,1,0,-329
