%time,field.data
1494449908775271322,{ AA 55 4D 01 0F D0 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 14 06 74 07 6D 06 06 02 00 00 0D 0E 06 06 94 FF F2 FF C6 FF 91 FF F4 FF C5 FF 10 10 00 00 E9 0F EC 0F ED 0F F4 0F F0 0F 00 00 00 00 2A }
1494449908775285393,{ AA 55 4D 01 0F E4 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 14 06 72 07 6D 06 06 02 00 00 0D 0E 08 06 90 FF F0 FF BE FF 90 FF EA FF BB FF 10 10 00 00 E7 0F ED 0F F3 0F EB 0F F0 0F 00 00 00 00 07 }
1494449908775296807,{ AA 55 4D 01 0F F8 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 72 07 6A 06 06 02 00 00 0D 0E 0A 06 95 FF E7 FF BE FF 9D FF E6 FF BE FF 10 10 00 00 E9 0F F1 0F E4 0F E3 0F ED 0F 00 00 00 00 1E }
1494449908775304764,{ AA 55 53 01 0F 0C 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 13 06 6E 07 57 06 06 02 00 00 0D 14 0C 09 A4 FF E4 FF B7 FF A5 FF E1 FF B1 FF 9F FF E1 FF AD FF 10 10 00 00 F0 0F EA 0F E0 0F E8 0F EE 0F 00 00 00 00 EF }
1494449908775319478,{ AA 55 4D 01 0F 20 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 13 06 70 07 57 06 06 02 00 00 0D 0E 0F 06 97 FF E5 FF AA FF 8E FF E9 FF A7 FF 10 10 00 00 E4 0F EC 0F E6 0F F0 0F ED 0F 00 00 00 00 EC }
1494449908775343679,{ AA 55 4D 01 0F 34 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 13 06 70 07 6C 06 06 02 00 00 0D 0E 11 06 85 FF E8 FF A8 FF 7D FF E2 FF B2 FF 10 10 00 00 E5 0F F0 0F E9 0F F4 0F EF 0F 00 00 00 00 39 }
1494449908775359175,{ AA 55 4D 01 0F 48 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 2C 06 6F 07 6C 06 06 02 00 00 0D 0E 13 06 7A FF DC FF BF FF 7F FF DB FF CA FF 10 10 00 00 E7 0F ED 0F ED 0F EA 0F F0 0F 00 00 00 00 E2 }
1494449908775380061,{ AA 55 4D 01 0F 5C 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 2C 06 6F 07 6D 06 06 02 00 00 0D 0E 15 06 8B FF DC FF D0 FF 95 FF DE FF D0 FF 10 10 00 00 F0 0F EE 0F E1 0F E4 0F EF 0F 00 00 00 00 93 }
1494449908776811343,{ AA 55 4D 01 0F 70 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 2C 06 72 07 6D 06 06 02 00 00 0D 0E 17 06 95 FF DE FF CB FF 8A FF DD FF C6 FF 10 10 00 00 E3 0F E3 0F E4 0F EF 0F ED 0F 00 00 00 00 BF }
1494449908777311110,{ AA 55 4D 01 0F 84 5D 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 73 07 6D 06 06 02 00 00 0D 0E 19 06 7F FF DE FF C3 FF 7D FF E5 FF C8 FF 10 10 00 00 E0 0F E8 0F E9 0F F3 0F EE 0F 00 00 00 00 43 }
