%time,field.data
1494450136708186867,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136724828004,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136745805766,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136766470981,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136786188582,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136811708917,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136825020047,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136844845164,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136866431557,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136885663063,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136913781743,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136925837090,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136945117007,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136968520489,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450136984996935,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137007586560,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137029825848,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137046319752,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137069658368,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137087417922,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137109397703,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137125454007,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137145422957,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137165594452,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137185822622,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137208247498,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137229168286,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137248166477,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137268126319,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137287128825,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137308745093,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137328212089,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137346578630,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137367038383,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137386616682,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137405216792,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137425978338,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137445704713,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137468080444,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
1494450137486571824,[ 0xaa 0x55 0x06 0x01 0x04 0x2c 0x01 0x00 0x00 0x2e ]
